filename,created,last_updated,summary
candlelight_whispers_me_where_to_go.html,2025-07-26 21:35:52,2026-04-27 23:48:18,"For a wild moment, Rio imagines her in all her glory – her sharp button-up, her wild hair, the heavy, esoteric pendant swinging around her neck – in her parents’ apartment; Agatha Harkness against the homey, beige normality of the Vidal family, and it’s as if her brain short-circuits for a second, giving her 404 File not found in the stead of any idea of what that would actually look like. “Well,” she continues, “since all of us are going home, we’re planning on having a little pre-Thanksgiving get-together this weekend, at mine and Billy’s.” “Okay,” Agatha says. “Just don’t expect me to bake anything.”"
cant_be_a_good_girl_even_if_i_tried.html,2026-02-21 21:47:26,2026-04-27 23:48:18,"Based on her age and the fact that Rio knows all the attendings, she must be a new intern. But what intern shows up as a welcome BBQ for their new job in that. Her high waisted jean shorts cut off at her butt. No, above her butt, the sloped edges of her ass hanging out the back. Despite the fact that she looks no more than 5’4”, her legs look impossibly long. The expanse of smooth, milky skin stretches down to her feet, adored in high heeled wedges completely inappropriate for the venue. Her brunette hair is tied up in a ponytail, but still reaches halfway down her back in messy waves. She’s wearing a deep purple crochet top, cropped to above her belly button. As she heads for the cooler without a word, Rio can see the criss-crossed ties forming three perfect bows across her bare back. Christ. --- OR --- Dr. Rio Vidal, internal medicine attending and her annoyingly charming intern, Agatha Harkness. Older Rio/younger Agatha as doctors AU; ie if the coven was like Grey's Anatomy"
cant_be_a_good_girl_even_if_i_tried_rhodiumdark.html,2026-04-15 22:40:41,2026-04-27 23:48:18,"Based on her age and the fact that Rio knows all the attendings, she must be a new intern. But what intern shows up as a welcome BBQ for their new job in that. Her high waisted jean shorts cut off at her butt. No, above her butt, the sloped edges of her ass hanging out the back. Despite the fact that she looks no more than 5’4”, her legs look impossibly long. The expanse of smooth, milky skin stretches down to her feet, adored in high heeled wedges completely inappropriate for the venue. Her brunette hair is tied up in a ponytail, but still reaches halfway down her back in messy waves. She’s wearing a deep purple crochet top, cropped to above her belly button. As she heads for the cooler without a word, Rio can see the criss-crossed ties forming three perfect bows across her bare back. Christ. --- OR --- Dr. Rio Vidal, internal medicine attending and her annoyingly charming intern, Agatha Harkness. Older Rio/younger Agatha as doctors AU; ie if the coven was like Grey's Anatomy"
catalysis.html,2025-09-15 18:25:53,2026-04-27 23:48:18,Myka keeps accidentally having sex with H.G.. She's not okay with this. (Except for the part where she totally is.)
catch_me_when_i_fall_for_you.html,2025-09-15 18:25:50,2026-04-27 23:48:18,"In the aftermath of an embarrassing and highly questionable incident at a university basketball game, Agatha Harkness finds herself drawn, through ridiculous happenstance, into the orbit of point guard and Westview University heartthrob Rio Vidal. At the same time, Rio, a player of the highest order both on and off the court, finds herself falling suddenly head-over-heels for a girl she has only just met."
cause_nobody_knows_you_better.html,2026-02-21 12:42:18,2026-04-27 23:48:18,"For as many times as Agatha had been insistent on a 'no pets' rule for the entire duration of her relationship with Rio, the arrival of their baby raccoon has changed quite a bit. Now, life looks a little different than it once did with not only Zap, but their new addition Ace the Dog, as well. The world keeps spinning and life is still far too short to not have fun when possible. With the purchase of a new RC car and softball season on the horizon, simple life can bring with it immeasurable joy."
Certified_Pre-Owned.html,2026-01-19 17:51:09,2026-04-27 23:48:18,"Rio has never been jealous of a man before. She has no reason to be jealous. She’s smarter than most, successful
            at her job, and if any man wants to have some sort of caveman-esque
            dick measuring contest, well, she may keep her dick in the
            nightstand but she never goes soft before getting her lover off. And yet, Rio is jealous of Ralph fucking Bohner. Why? Well, Ralph
            has a wife, Agatha. And Agatha might be the most gorgeous thing Rio has ever seen. (AAA Week 2025, Day 1: Jealousy)"
Chance_to_Fix.html,2025-11-07 17:55:15,2026-04-27 23:48:19,"Rio stood, her movements slow and deliberate, like a predator that didn’t need to rush. ""It means,"" she said, stepping toward her, ""there are things about yourself, about us, that you’ve forgotten."" Something cold curled around Agatha’s spine. ""But you’re starting to remember now,"" Rio continued, her voice softer, more knowing. ""Aren’t you?"" And suddenly, she was. The image hit her like a slap, flashes of a dense forest, a hand gripping hers, laughter echoing in the trees, a warmth that felt like home. It was there, just out of reach, teasing at the edges of her mind. She staggered back, her breath catching. ""What... what are you?"" she whispered, voice barely audible. Rio’s lips curled into a faint smile. ""That’s the right question, darling."" Her eyes gleamed. ""And when you’re ready to hear the answer, I’ll tell you."" Or After Agatha's death, Rio waited for every day, year or timeline until her Agatha was reborn. And after a game, Agatha summoned Rio back into her life."
checkmate.html,2025-07-26 21:35:52,2026-04-27 23:48:19,"Jennifer Barkley is deeply disgusted by every single citizen of Pawnee, Indiana. Except for one."
circling_around_the_same_star_thetroublewithwanting.html,2026-04-15 22:40:41,2026-04-27 23:48:19,"""That body is as much yours as it has ever been mine. More, maybe."" Agatha blinks. ""That would mean something to me if you weren’t a massive freak of nature, honey."" or: the one where Rio is Bigfoot"
close_enough_for_love.html,2025-07-26 21:35:52,2026-04-27 23:48:19,"As she nears her forties, Agatha has it all: a beautiful home, a laid-back successful career, and a pair of wonderful children. And yet, no soulmate in sight. But when one of her children begins his journey through elementary school, Agatha catches the eye of his new homeroom teacher. From then on, she seeks out something she has never been able to attain in her life — true love. — Or soulmate AU where soulmates have matching tattoos. Agatha juggles raising two children and a love-life, Rio falls for the parent of one of her students, while Nick and Billy play something of matchmakers for their lonely mother."
close_to_you.html,2025-07-26 21:35:52,2026-04-27 23:48:19,Jen didn't expect to feel this way about April and her first instinct is to run from it.
cool_about_it.html,2025-09-15 18:25:51,2026-04-27 23:48:19,Where Agatha uses a very down bad Rio to get back at her ex.
creator_you_destroy_me.html,2025-07-26 21:35:52,2026-04-27 23:48:19,"Time, suddenly, means the moments in between her."
crescendo.html,2025-09-15 18:25:50,2026-04-27 23:48:19,"Rio pulled the Debussy piece out of her folder and placed it on the music rack in front of Agatha. Leaning slightly forward, she came closer to her head and hair, strongly smelling of lavender and sandalwood. She cleared her throat and scratched her nose instead of inhaling it. “Go slow, no need to rush if you haven’t done this in a while,” Rio mumbled as she arranged the sheets. “Oh,” Agatha grinned, “I always go slow when I can Miss Vidal,” she replied and placed her hands on the keyboard, hitting the first notes with a surety Rio hadn’t expected. Rio, an accomplished modern pianist, is asked to take 22-year-old Agatha on as a student"
dea_pascit_corvos_anonfandombandit.html,2026-04-15 22:40:41,2026-04-27 23:48:20,"All witches possess wings, which are a reflection of their soul and magic. On the night of Samhain, 1675, Agatha Harkness is born with black wings; the wings of a crow, but mistaken to be the wings of a raven. Wings of Death. She is ostracized by the coven flock and raised to believe Death has marked her evil, sinful soul, and will one day come to claim her. What she does not know is that Evanora is partially correct. Death will, one day, claim her - because after millennia of waiting, Death's Soulmate has finally been born."
dearest_agatha.html,2025-07-26 21:35:52,2026-04-27 23:48:19,"Rio Vidal, a legal assistant at a prestigious firm in New York, lives between hard work and parties filled with music and plenty of alcohol. One fun night, she and her friends create a fake profile on a social media platform to tease their strict boss, Agatha Harkness. What starts as an innocent prank escalates into unimaginable proportions, and Rio finds herself in a dilemma between keeping her secret identity and facing the emotional realities of her job."
deaths_echo.html,2025-07-26 21:35:52,2026-04-27 23:48:20,"When Rio joined Agatha on the witches' road, she wasn’t scared. If anything, she was cocky. The idea of walking the witches' road with her wife again felt like an adventure—an opportunity to be by Agatha’s side, even if Agatha clearly didn’t want her there. Rio thought it would be fun, familiar, despite the trials ahead. She had convinced herself nothing could touch her. But when the second trial arrived, everything changed. Rio found herself standing on the porch of the only home she had ever known—the home she shared with Agatha and their son, Nicholas. The witches’ road was ancient, as old as she was, and it had reached into her mind, plucked her deepest fear from the darkness she refused to acknowledge. It wasn’t a monster or some forgotten villain. It was a memory."
decemberism.html,2026-02-21 12:42:18,2026-04-27 23:48:20,"As teenagers, Rio Vidal and Agatha Harkness fell into the all-consuming throes of young love on Christmas Day, 2002. It was their first kiss and the first of the thousands of kisses they would share over the next ten years of their lives. After years of masters and doctorate programs, their chosen career paths pulled them in opposing directions. Out of fear and misunderstanding, the relationship fell to pieces and left both parties irrevocably injured, never wanting to cross paths again. On Christmas Eve, Rio finds herself stranded with her car stuck in a snow bank and a nine hour waitlist for a tow. With a couple of miles to walk in the frigid cold, Rio begins her trek only to believe that someone has arrived to save her. When she turns around to view her knight, Agatha is the one that climbs out of the car. How much can change in a decade? Maybe, the more important question when it came to Agatha and Rio was instead: How much more could stay the same? Christmas AU One-Shot!"
devotion_is_for_fools.html,2025-07-26 21:35:52,2026-04-27 23:48:20,"“I think believing in something so bigger than yourself is romantic.” “Romantic?” Agatha asked, heart stuttering. “Yeah,” she said shyly, “to devote yourself so wholeheartedly to something, unconditionally, letting it into every part of your life. I’d say that’s pretty romantic.” Or Agatha was seven years old when she learned that loving women was a sin."
